,subject,session,scan,bias_max,bias_med,bias_min,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,qi1,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
0,sub-209,ses-BL,T1w,0.984497666359,0.381730914116,0.203633949161,1.30757761002,0.434347057615,24.5597572327,3.11407,3.02907,3.5431,2.8138,0.205287245356,0.359884658544,0.4348280961,0.553309061775,105784.203125,171214.328125,68978.8046875,256,182,256,2.12769818306,1.15251910686,1.96149873734,3.26907634735,0.879999995232,1.19999992847,0.880000054836,512.680175781,171.749984741,276.511505127,610.41986084,196.200408936,78.4801635742,39.8110237122,164.986831665,852.579956055,285.382415771,520.822875977,891.820007324,212.845230103,83.1524276733,148.456268311,225.464370728
1,sub-125,ses-FU,T1w,2.03990316391,0.49465161562,0.222401574254,1.26485192776,0.40462075735,247.602035522,2.18378,2.10136,2.34381,2.11448,0.152841305999,0.420886907373,0.426271786628,0.419012593336,71840.3203125,104552.4375,82744.46875,170,256,256,2.8745405674,1.74596691132,2.80640149117,4.07125329971,1.0,1.0,1.0,811.079223633,315.735870361,488.323028564,820.463867188,304.082550049,71.168258667,55.2524490356,146.736312866,1319.84765625,912.247619629,899.307983398,1358.66674805,314.348693848,304.295074463,254.671936035,383.129821777
2,sub-130,ses-BL,T1w,1.24117517471,0.433293551207,0.253034979105,1.74789834023,0.420844647742,25.4998435974,3.10552,2.98976,3.5875,2.79238,0.186220898198,0.403737267265,0.410041834537,0.775786363711,103431.601562,182673.03125,77761.7734375,256,182,256,2.62473845482,1.34952914715,2.38839387894,4.13629245758,0.879999995232,1.20000016689,0.880000054836,458.767791748,145.393951416,256.07723999,551.670715332,168.190368652,58.9960098267,41.3361282349,142.832580566,792.43536377,239.347824097,472.226776123,831.248535156,202.402206421,99.1534805298,132.751754761,217.542495728
3,sub-123,ses-BL,T1w,0.984255611897,0.389345407486,0.217115432024,1.70415735245,0.419349157975,18.4394283295,2.95709,2.88183,3.41177,2.62994,0.194613740504,0.368688884766,0.436697374729,0.837917769689,95793.0703125,153060.3125,73133.59375,256,182,256,2.74584746361,1.44954752922,2.54191851616,4.24607563019,0.879999995232,1.19999992847,0.879999995232,742.274230957,241.029251099,403.644714355,876.698242188,256.296813965,94.9914016724,62.0126914978,232.895996094,1264.76904297,406.731903076,763.318786621,1320.48583984,323.13949585,165.544326782,216.000213623,340.854309082
4,sub-222,ses-FU,T1w,1.17017769814,0.375847578049,0.192349031568,1.04383301735,0.458851867286,404.835601807,2.10498,2.03923,2.24984,2.03296,0.155489944092,0.374597362335,0.469912693573,0.347992891196,88205.4765625,148438.15625,154092.890625,170,256,256,3.08111071587,2.19798088074,3.00075864792,4.04459190369,1.0,1.0,1.0,772.354614258,375.38684082,439.29296875,704.350463867,331.584381104,72.0338516235,67.9176177979,96.845993042,1229.14892578,1069.07299805,823.24395752,1223.43200684,278.247253418,329.528503418,231.686721802,342.588195801
5,sub-302,ses-BL,T1w,1.06543684006,0.41112524271,0.225631475449,1.76754236221,0.418036990563,35.4303131104,3.13587,2.99652,3.56366,2.88776,0.16914887361,0.404989798988,0.425861327402,0.530042944414,98799.1484375,168860.21875,73990.96875,256,182,256,2.59077548981,1.34836435318,2.32820987701,4.09575223923,0.879999935627,1.19999992847,0.879999995232,500.641265869,154.772155762,274.825866699,597.810791016,187.263427734,62.2650985718,43.0706710815,148.154342651,846.286682129,259.287841797,500.569580078,889.501342773,217.745620728,106.138893127,140.201385498,234.071014404
6,sub-308,ses-FU,T1w,1.48208999634,0.522910714149,0.239863932133,0.696329295635,0.517868659573,259.190765381,2.09319,2.02385,2.17456,2.08389,0.179532122004,0.39768406653,0.422783811466,0.404909959574,88397.109375,179164.546875,224232.453125,170,256,256,2.5879752636,1.75681066513,2.65539264679,3.35172200203,1.0,1.0,1.0,638.134338379,309.177947998,383.186065674,526.261474609,242.168487549,57.9186286926,69.9263076782,53.1259307861,1039.30651855,862.724731445,731.55065918,988.854675293,245.284805298,272.031829834,201.774475098,278.472503662
7,sub-207,ses-BL,T1w,1.55916178226,0.499759376049,0.280503481627,2.15628361702,0.381896664643,54.6210289001,3.08144,2.95234,3.56116,2.78295,0.192037746838,0.40677379071,0.401188462452,0.81223760037,85312.7578125,148899.921875,63439.0976562,256,182,256,2.93940162659,1.38384401798,2.63903880119,4.79532241821,0.879999995232,1.19999992847,0.879999995232,480.625732422,140.832626343,264.044586182,592.507202148,154.133209229,54.3999252319,37.4756164551,141.4400177,921.777038574,241.777587891,504.710723877,997.332580566,239.670562744,94.1444244385,144.615188599,261.647857666
8,sub-112,ses-FU,T1w,1.55674409866,0.545591831207,0.276821136475,1.0318608284,0.461430157394,190.115432739,1.96367,1.90965,2.04204,1.94173,0.155518671781,0.405248504927,0.439232823292,0.47179086268,84361.4453125,147013.890625,153970.671875,170,256,256,2.76387190819,1.88924968243,2.68525242805,3.71711325645,1.0,1.0,1.0,734.407775879,349.206054688,427.668670654,664.515258789,295.127471924,58.851890564,58.3311805725,77.0808410645,1197.87036133,1030.05273438,792.793395996,1186.29675293,283.591766357,338.799987793,223.001373291,342.992431641
9,sub-116,ses-FU,T1w,1.49665534496,0.42957252264,0.20912759006,1.13482153416,0.436974518915,217.543579102,2.11271,2.09749,2.19803,2.04545,0.153443459637,0.378097956102,0.468458584261,0.466061035079,80629.9453125,138073.9375,131023.195312,170,256,256,3.01219773293,2.03383588791,2.93396782875,4.06878948212,1.0,1.0,1.0,794.636413574,359.38293457,454.109405518,749.489746094,323.802185059,74.0547714233,65.9597015381,115.849487305,1271.22338867,1073.34362793,844.283813477,1283.21606445,294.777648926,331.42590332,238.537780762,359.809936523
