,value
MaskVol,1358950.0
BrainSegVol,1090267.0
BrainSegVolNotVentSurf,1073910.0
BrainSegVolNotVent,1073910.0
SupraTentorialVol,959420.0
SupraTentorialVolNotVent,943063.0
SupraTentorialVolNotVentVox,943063.0
TotalGrayVol,604677.0609119968
CortexVol,446656.0609119968
CerebralWhiteMatterVol,443099.0
lhCortexVol,228100.985331395
lhCerebralWhiteMatterVol,222612.5
rhCerebralWhiteMatterVol,220486.5
rhCortexVol,218555.07558060176
SubCortGrayVol,54557.0
VentricleChoroidVol,12475.0
lh_entorhinal,3.43
lh_parahippocampal,3.384
lh_temporalpole,3.372
lh_insula,3.219
lh_rostralanteriorcingulate,2.943
lh_inferiortemporal,2.934
lh_lateralorbitofrontal,2.925
lh_fusiform,2.842
lh_superiortemporal,2.815
lh_middletemporal,2.814
lh_caudalanteriorcingulate,2.756
lh_parsorbitalis,2.739
rh_rostralanteriorcingulate,2.619
lh_medialorbitofrontal,2.618
rh_frontalpole,2.617
lh_isthmuscingulate,2.589
rh_isthmuscingulate,2.563
lh_parsopercularis,2.563
lh_posteriorcingulate,2.559
rh_medialorbitofrontal,2.545
rh_pericalcarine,2.526
rh_paracentral,2.526
rh_cuneus,2.522
lh_bankssts,2.517
rh_precuneus,2.508
lh_precentral,2.506
rh_posteriorcingulate,2.502
rh_lingual,2.484
lh_transversetemporal,2.47
rh_caudalanteriorcingulate,2.47
lh_parstriangularis,2.463
rh_superiorfrontal,2.457
lh_superiorfrontal,2.457
rh_lateralorbitofrontal,2.445
lh_precuneus,2.362
lh_supramarginal,2.346
rh_parahippocampal,2.322
lh_paracentral,2.314
rh_precentral,2.302
rh_superiorparietal,2.296
lh_inferiorparietal,2.283
rh_rostralmiddlefrontal,2.281
rh_inferiortemporal,2.24
rh_caudalmiddlefrontal,2.237
rh_lateraloccipital,2.236
lh_lingual,2.236
rh_postcentral,2.221
lh_frontalpole,2.201
lh_caudalmiddlefrontal,2.195
rh_insula,2.187
rh_inferiorparietal,2.171
rh_parsopercularis,2.152
lh_lateraloccipital,2.147
rh_temporalpole,2.143
rh_fusiform,2.142
rh_parstriangularis,2.141
rh_entorhinal,2.112
rh_parsorbitalis,2.111
lh_rostralmiddlefrontal,2.096
rh_supramarginal,2.062
lh_postcentral,2.062
rh_transversetemporal,2.006
lh_cuneus,1.98
lh_superiorparietal,1.979
rh_bankssts,1.967
rh_superiortemporal,1.929
rh_middletemporal,1.726
lh_pericalcarine,1.558
