roi,session,mean_heavy,mean_control,std_heavy,std_control,cohens_d,t_stat,p_uncorrected,n_heavy,n_control,p_fdr,sig_fdr05
Left-Amygdala,BL,1526.1,1784.22,133.00840199025023,230.77720208027486,-1.3704476093965934,-2.1668679298245084,0.0705939900924771,5,5,0.7022894201845137,False
Right-Accumbens-area,BL,614.6800000000001,709.96,71.08629966456267,98.42221802011981,-1.109852160631361,-1.7548303468475213,0.12107643631393777,5,5,0.7022894201845137,False
Right-Amygdala,BL,1589.8600000000001,1803.0,229.52085526156438,267.2858769183288,-0.85557156313067,-1.352777420387159,0.2139306098437994,5,5,0.7022894201845137,False
lh_superiortemporal,BL,2.868,2.9686,0.09866356977121789,0.15470391074565631,-0.7753639517212289,-1.225958060962901,0.2610162085864014,5,5,0.7022894201845137,False
Left-Accumbens-area,BL,668.3399999999999,729.76,56.69103103666398,98.40026930857456,-0.7648726192609449,-1.2093697983967406,0.26934403062597106,5,5,0.7022894201845137,False
Left-Caudate,BL,3523.7,3914.5199999999995,332.4144702024868,665.4050999203417,-0.74306334150232,-1.1748863024636607,0.2854183741670917,5,5,0.7022894201845137,False
rh_caudalanteriorcingulate,BL,2.602,2.6558,0.07600328940249884,0.09065980366182143,-0.6431317583829406,-1.0168806081955053,0.33984910569726823,5,5,0.7022894201845137,False
Right-Caudate,BL,3719.5200000000004,4093.0799999999995,394.3579554161421,714.5668107322084,-0.6472884366116477,-1.0234528813929382,0.34418177293690616,5,5,0.7022894201845137,False
rh_superiortemporal,BL,1.9582000000000002,1.9972,0.07110344576741691,0.04979658622837507,-0.6353696156689573,-1.0046075871564497,0.34780958989230626,5,5,0.7022894201845137,False
lh_insula,BL,3.1666,3.2236,0.08219975669063757,0.0987385436392496,-0.6274333698238479,-0.9920592752392543,0.35114471009225684,5,5,0.7022894201845137,False
lh_superiorfrontal,BL,2.4466,2.484,0.02968669735757075,0.09117017056033185,-0.5516338111295588,-0.8722096516289882,0.4242508865034148,5,5,0.7713652481880269,False
rh_superiorfrontal,BL,2.5136,2.5562,0.08803294837729801,0.10657016468036448,-0.4358412592593349,-0.689125545818179,0.510908521168236,5,5,0.8100055385910343,False
rh_rostralmiddlefrontal,BL,2.2888,2.2744,0.0376789065658757,0.03059901959213722,0.41955590143450505,0.6633761464770832,0.5265036000841723,5,5,0.8100055385910343,False
lh_rostralmiddlefrontal,BL,2.1926,2.219,0.07585051087500982,0.09930005035245457,-0.2987890061692826,-0.4724269050033341,0.6500929362448713,5,5,0.9068557615387889,False
Left-Putamen,BL,5310.280000000001,5208.960000000001,467.0029464575142,615.1778507066066,0.18552054758713105,0.29333374156903175,0.7772595025428326,5,5,0.9068557615387889,False
Left-Hippocampus,BL,4013.06,3939.2,430.72746952104194,562.7845724609019,0.14738836195749033,0.23304146219395638,0.821971476926284,5,5,0.9068557615387889,False
Right-Hippocampus,BL,4120.9800000000005,4060.1200000000003,514.5241170246543,265.7820008954706,0.14862145646894934,0.2349911558072967,0.8220392072161014,5,5,0.9068557615387889,False
rh_insula,BL,2.2638,2.2554000000000003,0.08123238270542103,0.05812314513169432,0.11893078669565027,0.18804608759938957,0.8559993646495201,5,5,0.9068557615387889,False
Right-Putamen,BL,5270.66,5320.9,448.46809585521254,491.6345848290171,-0.10676944733589873,-0.16881731904977718,0.8701650712596259,5,5,0.9068557615387889,False
lh_caudalanteriorcingulate,BL,2.5258,2.5434,0.21432032101506374,0.245245387316459,-0.07642122215060466,-0.12083256230947989,0.9068557615387889,5,5,0.9068557615387889,False
