roi,session,mean_heavy,mean_control,std_heavy,std_control,cohens_d,t_stat,p_uncorrected,n_heavy,n_control,p_fdr,sig_fdr05
lh_superiortemporal,FU,2.6342,2.7772,0.07730911977250801,0.12386363469557969,-1.385060152013863,-2.189972409562922,0.06635967402125889,5,5,0.6639993959032654,False
Left-Amygdala,FU,1608.1599999999999,1897.14,159.97983622944486,289.4022512006428,-1.235887470468475,-1.9541096691805901,0.09667475243231768,5,5,0.6639993959032654,False
Right-Accumbens-area,FU,570.74,677.8400000000001,55.97828150273998,109.42213213057036,-1.2323062346080476,-1.9484472381160405,0.09959990938548981,5,5,0.6639993959032654,False
lh_rostralmiddlefrontal,FU,2.1712,2.2534,0.10717135811400359,0.02242320226907824,-1.061706279355812,-1.6787050461160673,0.16274216987601942,5,5,0.8137108493800971,False
Left-Caudate,FU,3602.06,3989.3,362.7354311340429,639.8034541951146,-0.744605947083355,-1.1773253760473699,0.28142466223835727,5,5,0.837850716895115,False
rh_caudalanteriorcingulate,FU,2.5056,2.5875999999999997,0.14194646878312958,0.1078809529064329,-0.650434236211627,-1.0284268354479655,0.335915000662108,5,5,0.837850716895115,False
Right-Caudate,FU,3687.7,4037.5199999999995,404.52458516139666,662.7192897449114,-0.6371764037442205,-1.0074643535752232,0.3491206556859446,5,5,0.837850716895115,False
rh_rostralmiddlefrontal,FU,2.0488,2.0974,0.09535040639661688,0.05869241859047903,-0.6138511999093474,-0.9705839803295803,0.36571997993990546,5,5,0.837850716895115,False
rh_insula,FU,2.0076,2.0498000000000003,0.09587648303937732,0.04158966217703634,-0.571052920311115,-0.902913958555162,0.4046839985045662,5,5,0.837850716895115,False
rh_superiorfrontal,FU,2.3568,2.4210000000000003,0.13070462883922673,0.10565983153497843,-0.5402048464366536,-0.8541388660877306,0.4189253584475575,5,5,0.837850716895115,False
Right-Amygdala,FU,1903.2,2013.94,197.29798529128468,284.4580865435188,-0.45239038481974936,-0.7152920037981568,0.49719180102333815,5,5,0.9039850927697056,False
Left-Accumbens-area,FU,563.52,594.5600000000001,44.83890052175679,116.93401130552225,-0.3505153547694858,-0.5542134379730278,0.6026330707382646,5,5,0.9504232003955403,False
lh_insula,FU,2.7232,2.7640000000000002,0.19821881848099085,0.2004457532600779,-0.20468015547965632,-0.3236277432000876,0.7545190895918972,5,5,0.9504232003955403,False
lh_superiorfrontal,FU,2.5206000000000004,2.5376,0.0884211513157345,0.09779468288204642,-0.18235294959119297,-0.28832533247178327,0.7804992073846531,5,5,0.9504232003955403,False
Right-Hippocampus,FU,4246.24,4186.5,440.3492852270797,269.44416861383354,0.16365352860424232,0.25875894875717004,0.8036730662842395,5,5,0.9504232003955403,False
rh_superiortemporal,FU,1.8350000000000002,1.85,0.12466956324620691,0.08702011261771608,-0.13952733652988628,-0.22061209169772192,0.8315620385161338,5,5,0.9504232003955403,False
Right-Putamen,FU,5546.24,5500.339999999999,411.1006178540724,462.93186647713105,0.1048462296812449,0.1657764449373205,0.8725019924612697,5,5,0.9504232003955403,False
Left-Hippocampus,FU,4108.36,4068.8199999999997,337.2009311968162,638.1471671957811,0.07747460357162042,0.12249810405270832,0.9064584357690099,5,5,0.9504232003955403,False
Left-Putamen,FU,5432.18,5461.24,490.3136006679808,624.0592383740506,-0.05178327379363975,-0.08187654494415071,0.9368664993492338,5,5,0.9504232003955403,False
lh_caudalanteriorcingulate,FU,2.3984,2.4061999999999997,0.20864635151375172,0.17387696799748964,-0.04061439696317876,-0.06421700043331158,0.9504232003955403,5,5,0.9504232003955403,False
